               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063812,            0.025923,            0.059064,             0.38242,             0.31927,             0.27542,             0.17048,            0.023429,           0.0087739,            0.026832,           0.0033284,           0.0033284,            0.070045
                   1,            0.048193,            0.017916,            0.039803,             0.53233,             0.41565,             0.38936,             0.21857,            0.024729,           0.0082068,            0.022475,           0.0066452,           0.0066452,            0.040028
                   2,            0.047752,            0.017589,            0.032302,             0.39631,             0.49096,             0.44848,             0.26423,            0.022724,           0.0093286,            0.018855,           0.0099456,           0.0099456,            0.009995
                   3,            0.046968,            0.018598,            0.029866,             0.53109,             0.70889,             0.64868,             0.42647,            0.020401,           0.0082127,            0.013727,           0.0099258,           0.0099258,           0.0099258
                   4,            0.044617,            0.018006,            0.025812,             0.70741,             0.76321,             0.75581,             0.50369,            0.019668,           0.0077916,            0.009414,           0.0099258,           0.0099258,           0.0099258
                   5,            0.043066,            0.017456,            0.022146,              0.6439,             0.77107,             0.74918,             0.50384,            0.019382,           0.0078836,           0.0095912,            0.009901,            0.009901,            0.009901
                   6,            0.041854,            0.016952,            0.020467,              0.7077,             0.81078,             0.78787,             0.53791,            0.019875,           0.0074079,           0.0080728,           0.0098763,           0.0098763,           0.0098763
                   7,            0.041578,            0.016936,            0.020123,             0.73268,               0.784,             0.82999,             0.57459,            0.018619,           0.0074062,           0.0085924,           0.0098515,           0.0098515,           0.0098515
                   8,            0.040832,            0.016816,            0.019005,             0.77894,             0.85861,             0.87539,             0.61997,            0.017891,           0.0071677,           0.0063537,           0.0098268,           0.0098268,           0.0098268
                   9,              0.0395,            0.016447,            0.017629,             0.80766,             0.84806,             0.87263,             0.62503,            0.017651,           0.0072352,           0.0066287,            0.009802,            0.009802,            0.009802
                  10,            0.039609,            0.016412,            0.016866,             0.79253,             0.82594,             0.88162,             0.62045,            0.017232,           0.0072242,           0.0059881,           0.0097773,           0.0097773,           0.0097773
                  11,            0.039188,            0.016205,            0.016305,             0.86784,             0.83192,             0.89671,             0.62719,            0.017373,           0.0070586,           0.0061227,           0.0097525,           0.0097525,           0.0097525
                  12,            0.039398,            0.016191,            0.015766,             0.85751,             0.86431,             0.90002,             0.64156,            0.017672,           0.0072549,           0.0052113,           0.0097278,           0.0097278,           0.0097278
                  13,            0.038588,            0.016316,            0.014985,             0.88354,             0.86908,             0.91451,             0.64848,             0.01725,           0.0071228,           0.0053228,            0.009703,            0.009703,            0.009703
                  14,             0.03795,             0.01585,            0.014578,             0.89941,             0.85788,             0.91922,             0.65504,            0.017161,            0.007069,           0.0044639,           0.0096783,           0.0096783,           0.0096783
                  15,            0.037359,            0.015685,            0.013804,             0.89574,             0.85699,             0.91653,             0.65268,               0.017,           0.0070572,            0.004496,           0.0096535,           0.0096535,           0.0096535
                  16,            0.037517,            0.015711,             0.01383,             0.91656,             0.86927,             0.93626,             0.66836,            0.016576,           0.0069468,           0.0040391,           0.0096288,           0.0096288,           0.0096288
                  17,            0.036981,            0.015627,             0.01293,              0.9084,             0.88741,             0.93048,             0.66564,            0.016926,           0.0070454,           0.0040244,            0.009604,            0.009604,            0.009604
                  18,            0.037388,            0.015724,            0.012684,             0.93077,             0.88507,             0.93261,             0.67701,            0.016617,           0.0069959,            0.003843,           0.0095793,           0.0095793,           0.0095793
                  19,            0.036824,            0.015577,             0.01267,             0.89184,             0.89983,             0.93525,             0.66711,             0.01716,           0.0069669,           0.0041067,           0.0095545,           0.0095545,           0.0095545
                  20,            0.036566,            0.015718,            0.012844,             0.91177,             0.89782,             0.93798,             0.67384,            0.017025,            0.006947,           0.0038721,           0.0095298,           0.0095298,           0.0095298
                  21,            0.036533,            0.015695,            0.012216,             0.91414,               0.883,             0.93929,             0.67721,            0.016429,           0.0068763,           0.0049392,            0.009505,            0.009505,            0.009505
                  22,            0.036361,            0.015501,            0.012238,             0.90607,             0.90744,             0.93871,             0.68019,            0.016424,           0.0069174,           0.0036904,           0.0094803,           0.0094803,           0.0094803
                  23,            0.036199,            0.015568,            0.011927,             0.93795,             0.89451,             0.94515,             0.69159,            0.016531,           0.0068578,           0.0035205,           0.0094555,           0.0094555,           0.0094555
                  24,             0.03612,            0.015515,             0.01126,             0.92817,             0.90127,             0.94797,             0.69023,            0.016648,           0.0067471,           0.0033276,           0.0094307,           0.0094307,           0.0094307
                  25,            0.035515,            0.015485,            0.011657,             0.91732,             0.90335,             0.94775,             0.67851,            0.016617,            0.006835,            0.003583,            0.009406,            0.009406,            0.009406
                  26,            0.035818,            0.015363,            0.011052,             0.92487,             0.90368,              0.9477,             0.68678,            0.016389,           0.0068344,           0.0038103,           0.0093813,           0.0093813,           0.0093813
                  27,            0.036229,            0.015555,            0.011814,             0.90646,             0.92005,              0.9498,             0.69594,            0.016305,            0.006817,            0.003354,           0.0093565,           0.0093565,           0.0093565
                  28,            0.035491,             0.01537,            0.010318,             0.93663,             0.91683,             0.95044,             0.69708,            0.016471,           0.0067593,           0.0031605,           0.0093317,           0.0093317,           0.0093317
                  29,            0.035402,             0.01505,            0.010567,              0.9314,             0.91434,             0.95175,             0.69566,             0.01634,           0.0067303,           0.0034854,            0.009307,            0.009307,            0.009307
                  30,             0.03531,            0.015122,            0.010133,             0.92599,             0.90963,             0.94743,             0.69545,            0.016106,           0.0067889,           0.0038831,           0.0092823,           0.0092823,           0.0092823
